"App Name","Location","Source"
"coloredlogs","D:\Misc\Python311-was OpenWebUI\Scripts","Deep Scan (D:)"
"combination_sampler_test","D:\Misc\COLMAP-3.5-windows\bin","Deep Scan (D:)"
"consistency_graph_test","D:\Misc\COLMAP-3.5-windows\bin","Deep Scan (D:)"
"convertible","D:\QuickBooks Pro 2018","Deep Scan (D:)"
"convertible_noAE","D:\QuickBooks Pro 2018","Deep Scan (D:)"
"coordinate_frame_test","D:\Misc\COLMAP-3.5-windows\bin","Deep Scan (D:)"
"CopyTrans HEIC for Windows","C:\Program Files\CopyTrans HEIC for Windows\","Registry"
"CopyTransHEICforWindowsv1.004","D:\Downloads","Deep Scan (D:)"
"CopyTransHEICforWindowsv2.000","D:\Downloads","Deep Scan (D:)"
"correspondence_graph_test","D:\Misc\COLMAP-3.5-windows\bin","Deep Scan (D:)"
"cost_functions_test","D:\Misc\COLMAP-3.5-windows\bin","Deep Scan (D:)"
"CPUID CPU-Z 2.17","D:\Misc\CPU-Z\","Registry"
"cpuz","D:\Misc\CPU-Z","Deep Scan (D:)"
"CrashReport","D:\Misc\Glary Utilities","Deep Scan (D:)"
"ct2-fairseq-converter","D:\Misc\Python311-was OpenWebUI\Scripts","Deep Scan (D:)"
"ct2-marian-converter","D:\Misc\Python311-was OpenWebUI\Scripts","Deep Scan (D:)"
"ct2-openai-gpt2-converter","D:\Misc\Python311-was OpenWebUI\Scripts","Deep Scan (D:)"
"ct2-opennmt-py-converter","D:\Misc\Python311-was OpenWebUI\Scripts","Deep Scan (D:)"
"ct2-opennmt-tf-converter","D:\Misc\Python311-was OpenWebUI\Scripts","Deep Scan (D:)"
"ct2-opus-mt-converter","D:\Misc\Python311-was OpenWebUI\Scripts","Deep Scan (D:)"
"ct2-transformers-converter","D:\Misc\Python311-was OpenWebUI\Scripts","Deep Scan (D:)"
"DADispatcherService","D:\Misc\Meshmixer","Deep Scan (D:)"
"Dashlane Upgrade Service","C:\Program Files (x86)\Dashlane\Upgrade","Registry"
"database_cache_test","D:\Misc\COLMAP-3.5-windows\bin","Deep Scan (D:)"
"database_test","D:\Misc\COLMAP-3.5-windows\bin","Deep Scan (D:)"
"DAZ3DIM_1.2.0.6_Win32","D:\Downloads","Deep Scan (D:)"
"dbextclr17","D:\QuickBooks Pro 2018","Deep Scan (D:)"
"DBManagerExe","D:\QuickBooks Pro 2018","Deep Scan (D:)"
"dbmlsync","D:\QuickBooks Pro 2018","Deep Scan (D:)"
"ddgs","D:\Misc\Python311-was OpenWebUI\Scripts","Deep Scan (D:)"
"Decoder","D:\Misc\Similarity","Deep Scan (D:)"
"deep-translator","D:\Misc\Python313\Scripts","Deep Scan (D:)"
"deldirrpa","D:\Misc\7.28.4.0","Deep Scan (D:)"
"DeltaWalker","","Registry"
"DeltaWalkerc","D:\Misc\Deltopia","Deep Scan (D:)"
"depth_map_test","D:\Misc\COLMAP-3.5-windows\bin","Deep Scan (D:)"
"Diagnostics","D:\Misc\7.28.4.0","Deep Scan (D:)"
"DiagnosticsHub_CollectionService","","Registry"
"DiskAnalysis","D:\Misc\Glary Utilities","Deep Scan (D:)"
"DiskCleaner","D:\Misc\Glary Utilities","Deep Scan (D:)"
"DiskDefrag","D:\Misc\Glary Utilities","Deep Scan (D:)"
"DiskGenius V6.1.1","C:\Program Files\DiskGenius\","Registry"
"distro","D:\Misc\Python311-was OpenWebUI\Scripts","Deep Scan (D:)"
"dmtracedump","D:\Misc\ADB\platform-tools","Deep Scan (D:)"
"Docker Desktop","C:\Program Files\Docker\Docker","Registry"
"dotenv","D:\Misc\Python311-was OpenWebUI\Scripts","Deep Scan (D:)"
"dpinst","D:\Misc\IOT\DPI","Deep Scan (D:)"
"DPInst32","D:\Misc\Glary Utilities","Deep Scan (D:)"
"DPInst64","D:\Misc\Glary Utilities","Deep Scan (D:)"
"DragDrop","D:\Misc\IOT","Deep Scan (D:)"
"DriverBackup","D:\Misc\Glary Utilities","Deep Scan (D:)"
"drw_trial","D:\Downloads","Deep Scan (D:)"
"DShowChecker","D:\Misc\Acrok Video Converter Ultimate\Bin","Deep Scan (D:)"
"dt","D:\Misc\Python313\Scripts","Deep Scan (D:)"
"dupefinder","D:\Misc\Glary Utilities","Deep Scan (D:)"
"dupeguru","D:\Misc\dupeGuru","Deep Scan (D:)"
"dupeGuru 4.0.3","D:\Misc\dupeGuru","Registry"
"dupeGuru_win64_4.0.3","D:\Downloads","Deep Scan (D:)"
"EmptyFolderFinder","D:\Misc\Glary Utilities","Deep Scan (D:)"
"EncryptExe","D:\Misc\Glary Utilities","Deep Scan (D:)"
"endian_test","D:\Misc\COLMAP-3.5-windows\bin","Deep Scan (D:)"
"Entity Framework 6.2.0 Tools  for Visual Studio 2019","","Registry"
"epm_free_easeus","D:\Downloads","Deep Scan (D:)"
"epm_free_installer","D:\Downloads","Deep Scan (D:)"
"epm_free_installer_20230428.589","D:\Downloads","Deep Scan (D:)"
"EscalatedPrivilegeFileOperationDaemon","D:\Misc\Adobe CS6\Adobe Extension Manager CS6","Deep Scan (D:)"
"essential_matrix_test","D:\Misc\COLMAP-3.5-windows\bin","Deep Scan (D:)"
"essential_matrix_utils_test","D:\Misc\COLMAP-3.5-windows\bin","Deep Scan (D:)"
"estimators_utils_test","D:\Misc\COLMAP-3.5-windows\bin","Deep Scan (D:)"
"etc1tool","D:\Misc\ADB\platform-tools","Deep Scan (D:)"
"Etcher-Setup-1.4.4-x64","D:\Downloads","Deep Scan (D:)"
"Everything","D:\Misc\Everything","Deep Scan (D:)"
"Everything 1.4.1.1029 (x64)","D:\Misc\Everything","Registry"
"Everything-1.4.1.1024.x64-Setup","D:\Downloads","Deep Scan (D:)"
"EXCEL","D:\New folder\Office16","Deep Scan (D:)"
"excelcnv","D:\New folder\Office16","Deep Scan (D:)"
"exif","D:\Downloads","Deep Scan (D:)"
"EXIF Date Changer v3.9.3","D:\Misc\EXIF Date Changer\","Registry"
"Exif Pilot 5.4","D:\Misc\Exif Pilot\","Registry"
"EXIFDateChanger","D:\Misc\EXIF Date Changer","Deep Scan (D:)"
"EXIFDateChangerSetup","D:\Downloads","Deep Scan (D:)"
"ExifPilot","D:\Misc\Exif Pilot","Deep Scan (D:)"
"exiftool","D:\Misc\EXIF Date Changer\Resources","Deep Scan (D:)"
"ExpNote","D:\Misc\IOT","Deep Scan (D:)"
"f2py","D:\Misc\Python311-was OpenWebUI\Scripts","Deep Scan (D:)"
"fastapi","D:\Misc\Python311-was OpenWebUI\Scripts","Deep Scan (D:)"
"fastboot","D:\Misc\ADB\platform-tools","Deep Scan (D:)"
"feature_utils_test","D:\Misc\COLMAP-3.5-windows\bin","Deep Scan (D:)"
"FeedBack","D:\Misc\IOT","Deep Scan (D:)"
"ffmpeg","D:\Misc\Virtual Desktop Streamer","Deep Scan (D:)"
"ffprobe","D:\Misc\Virtual Desktop Streamer","Deep Scan (D:)"
"fileencrypt","D:\Misc\Glary Utilities","Deep Scan (D:)"
"FileManagement","D:\QuickBooks Pro 2018","Deep Scan (D:)"
"FileMovementExe","D:\QuickBooks Pro 2018","Deep Scan (D:)"
"filesplitter","D:\Misc\Glary Utilities","Deep Scan (D:)"
"filetype","D:\Misc\Python311-was OpenWebUI\Scripts","Deep Scan (D:)"
"FileUndelete","D:\Misc\Glary Utilities","Deep Scan (D:)"
"FileWatcher","D:\Misc\PDFgear","Deep Scan (D:)"
"filezilla","D:\Misc\FileZilla FTP Client","Deep Scan (D:)"
"FileZilla Client 3.52.2","D:\Misc\FileZilla FTP Client","Registry"
"FIRSTRUN","D:\New folder\Office16","Deep Scan (D:)"
"flask","D:\Misc\Python313\Scripts","Deep Scan (D:)"
"fonttools","D:\Misc\Python311-was OpenWebUI\Scripts","Deep Scan (D:)"
"ftfy","D:\Misc\Python311-was OpenWebUI\Scripts","Deep Scan (D:)"
"fundamental_matrix_test","D:\Misc\COLMAP-3.5-windows\bin","Deep Scan (D:)"
"fzputtygen","D:\Misc\FileZilla FTP Client","Deep Scan (D:)"
"fzsftp","D:\Misc\FileZilla FTP Client","Deep Scan (D:)"
"fzstorj","D:\Misc\FileZilla FTP Client","Deep Scan (D:)"
"generalized_absolute_pose_test","D:\Misc\COLMAP-3.5-windows\bin","Deep Scan (D:)"
"generalized_relative_pose_test","D:\Misc\COLMAP-3.5-windows\bin","Deep Scan (D:)"
"geometry_test","D:\Misc\COLMAP-3.5-windows\bin","Deep Scan (D:)"
"Git","D:\Misc\Git\","Registry"
"git-bash","D:\Misc\Git","Deep Scan (D:)"
"git-cmd","D:\Misc\Git","Deep Scan (D:)"
"git-gui","D:\Misc\Git\cmd","Deep Scan (D:)"
"gitk","D:\Misc\Git\cmd","Deep Scan (D:)"
"git-lfs","D:\Misc\Git\cmd","Deep Scan (D:)"
"git-receive-pack","D:\Misc\Git\cmd","Deep Scan (D:)"
"git-upload-pack","D:\Misc\Git\cmd","Deep Scan (D:)"
"Glary Utilities 6.10",,"Registry"
"GLKVM",,"Registry"
"Google Chrome","C:\Program Files (x86)\Google\Chrome\Application","Registry"
"Google Drive","C:\Program Files\Google\Drive File Stream\123.0.1.0\GoogleDriveFS.exe","Registry"
"google-oauthlib-tool","D:\Misc\Python311-was OpenWebUI\Scripts","Deep Scan (D:)"
