"App Name","Location","Source"
"Microsoft Edge WebView2 Runtime","C:\Program Files (x86)\Microsoft\EdgeWebView\Application","Registry"
"Microsoft Excel MUI (English) 2016","C:\Program Files (x86)\Microsoft Office\","Registry"
"Microsoft Groove MUI (English) 2016","C:\Program Files (x86)\Microsoft Office\","Registry"
"Microsoft InfoPath MUI (English) 2016","D:\New folder\","Registry"
"Microsoft Money Plus","C:\Program Files (x86)\Microsoft Money Plus","Registry"
"Microsoft Money Shared Libraries","","Registry"
"Microsoft Office 64-bit Components 2016","D:\New folder\","Registry"
"Microsoft Office OSM MUI (English) 2016","D:\New folder\","Registry"
"Microsoft Office OSM UX MUI (English) 2016","D:\New folder\","Registry"
"Microsoft Office Professional Plus 2016","D:\New folder","Registry"
"Microsoft Office Proofing (English) 2016","D:\New folder\","Registry"
"Microsoft Office Proofing Tools 2016 - English","D:\New folder\","Registry"
"Microsoft Office Shared 64-bit MUI (English) 2016","D:\New folder\","Registry"
"Microsoft Office Shared 64-bit Setup Metadata MUI (English) 2016","D:\New folder\","Registry"
"Microsoft Office Shared MUI (English) 2016","D:\New folder\","Registry"
"Microsoft Office Shared Setup Metadata MUI (English) 2016","D:\New folder\","Registry"
"Microsoft OneDrive",,"Registry"
"Microsoft OneNote MUI (English) 2016","C:\Program Files (x86)\Microsoft Office\","Registry"
"Microsoft Outlook MUI (English) 2016","C:\Program Files (x86)\Microsoft Office\","Registry"
"Microsoft PowerPoint MUI (English) 2016","C:\Program Files (x86)\Microsoft Office\","Registry"
"Microsoft Publisher MUI (English) 2016","C:\Program Files (x86)\Microsoft Office\","Registry"
"Microsoft Skype for Business MUI (English) 2016","D:\New folder\","Registry"
"Microsoft Sync Framework 2.0 Core Components (x64) ENU ","","Registry"
"Microsoft Sync Framework 2.0 Provider Services (x64) ENU ","","Registry"
"Microsoft System CLR Types for SQL Server 2019 CTP2.2","","Registry"
"Microsoft Teams Meeting Add-in for Microsoft Office","","Registry"
"Microsoft TestPlatform SDK Local Feed","","Registry"
"Microsoft Update Health Tools","","Registry"
"Microsoft VC++ redistributables repacked.","","Registry"
"Microsoft Visual C++ 2005 Redistributable","","Registry"
"Microsoft Visual C++ 2005 Redistributable (x64)","","Registry"
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.17","","Registry"
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148","","Registry"
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.17","","Registry"
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148","","Registry"
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219","","Registry"
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219","","Registry"
"Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.61030",,"Registry"
"Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.50727",,"Registry"
"Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.61030",,"Registry"
"Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61030","","Registry"
"Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61030","","Registry"
"Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.50727","","Registry"
"Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030","","Registry"
"Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.50727","","Registry"
"Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61030","","Registry"
"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501",,"Registry"
"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40664",,"Registry"
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501",,"Registry"
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40664",,"Registry"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40664","","Registry"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40664","","Registry"
"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.40664","","Registry"
"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.40664","","Registry"
"Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.40.33810",,"Registry"
"Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.42.34433",,"Registry"
"Microsoft Visual C++ 2022 X64 Additional Runtime - 14.40.33810","","Registry"
"Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.40.33810","","Registry"
"Microsoft Visual C++ 2022 X86 Additional Runtime - 14.42.34433","","Registry"
"Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.42.34433","","Registry"
"Microsoft Visual Studio 2010 Tools for Office Runtime (x64)","C:\Program Files\Common Files\Microsoft Shared\VSTO\10.0\","Registry"
"Microsoft Visual Studio Code (User)","D:\Misc\Microsoft VS Code\","Registry"
"Microsoft Visual Studio Installer","""C:\Program Files (x86)\Microsoft Visual Studio\Installer""","Registry"
"Microsoft Visual Studio Setup Configuration","","Registry"
"Microsoft Visual Studio Setup WMI Provider","","Registry"
"Microsoft Windows Desktop Runtime - 3.1.11 (x64)","","Registry"
"Microsoft Windows Desktop Runtime - 3.1.13 (x64)","","Registry"
"Microsoft Windows Desktop Runtime - 3.1.13 (x86)","","Registry"
"Microsoft Windows Desktop Runtime - 5.0.4 (x64)","","Registry"
"Microsoft Windows Desktop Runtime - 5.0.4 (x86)","","Registry"
"Microsoft Windows Desktop Runtime - 6.0.16 (x64)","","Registry"
"Microsoft Windows Desktop Runtime - 7.0.16 (x64)","","Registry"
"Microsoft Windows Desktop Runtime - 8.0.14 (x86)","","Registry"
"Microsoft Windows Desktop Runtime - 8.0.8 (x64)","","Registry"
"Microsoft Windows Desktop Targeting Pack - 3.1.0 (x64)","","Registry"
"Microsoft Windows Desktop Targeting Pack - 5.0.0 (x64)","","Registry"
"Microsoft Word MUI (English) 2016","C:\Program Files (x86)\Microsoft Office\","Registry"
"Microsoft_VC80_CRT_x86","C:\Program Files (x86)\Adobe\My Product Name\","Registry"
"Microsoft_VC90_CRT_x86","C:\Program Files (x86)\Adobe\My Product Name\","Registry"
"misc","D:\New folder\Office16","Deep Scan (D:)"
"misc_test","D:\Misc\COLMAP-3.5-windows\bin","Deep Scan (D:)"
"mke2fs","D:\Misc\ADB\platform-tools","Deep Scan (D:)"
"Move_QuickBooks","D:\QuickBooks Pro 2018","Deep Scan (D:)"
"Mozilla Firefox (x64 en-US)","C:\Program Files (x86)\Mozilla Firefox","Registry"
"Mozilla Maintenance Service",,"Registry"
"Mp3tag v3.31a","C:\Program Files\Mp3tag","Registry"
"MSACCESS","D:\New folder\Office16","Deep Scan (D:)"
"msoev","D:\New folder\Office16","Deep Scan (D:)"
"msoffcrypto-tool","D:\Misc\Python311-was OpenWebUI\Scripts","Deep Scan (D:)"
"MSOHTMED","D:\New folder\Office16","Deep Scan (D:)"
"MSOSREC","D:\New folder\Office16","Deep Scan (D:)"
"MSOSYNC","D:\New folder\Office16","Deep Scan (D:)"
"msotd","D:\New folder\Office16","Deep Scan (D:)"
"MSOUC","D:\New folder\Office16","Deep Scan (D:)"
"MSPUB","D:\New folder\Office16","Deep Scan (D:)"
"MSQRY32","D:\New folder\Office16","Deep Scan (D:)"
"NAMECONTROLSERVER","D:\New folder\Office16","Deep Scan (D:)"
"NDI 4 Runtime","D:\Misc\OBS Software\v4\","Registry"
"ndi-runtime-4.5.1-Windows","D:\Misc\OBS Software","Deep Scan (D:)"
"NetworkSettingTool","D:\PlayMemories Home","Deep Scan (D:)"
"NewTek Connect","D:\Misc\OBS Software","Deep Scan (D:)"
"nginx","D:\Misc\nginx","Deep Scan (D:)"
"nginx_basic","D:\Misc\nginx","Deep Scan (D:)"
"nltk","D:\Misc\Python311-was OpenWebUI\Scripts","Deep Scan (D:)"
"NordPassSetup","D:\Misc\Extras","Deep Scan (D:)"
"nordsec-threatprotection-service","D:\Misc\NordSec ThreatProtection","Deep Scan (D:)"
"nordsec-threatprotection-service-app","D:\Misc\NordSec ThreatProtection\1.4.28.1","Deep Scan (D:)"
"NordUpdater","C:\Program Files\NordUpdater\","Registry"
"NordUpdaterSetup","D:\Misc\Extras","Deep Scan (D:)"
"NordVPN","C:\Program Files\NordVPN\","Registry"
"NordVPNApp","D:\Misc\7.28.4.0","Deep Scan (D:)"
"nordvpn-service","D:\Misc","Deep Scan (D:)"
"nordvpn-service-app","D:\Misc\7.28.4.0","Deep Scan (D:)"
"normal_map_test","D:\Misc\COLMAP-3.5-windows\bin","Deep Scan (D:)"
"normalizer","D:\Misc\Python311-was OpenWebUI\Scripts","Deep Scan (D:)"
"nssm","D:\Misc","Deep Scan (D:)"
"numpy-config","D:\Misc\Python311-was OpenWebUI\Scripts","Deep Scan (D:)"
"NvCpl","C:\Program Files\NVIDIA Corporation\Installer2\Display.NvApp.NvCPL.{AB613E8E-B995-4A21-AF3C-8EBCED2E42A8}","Registry"
"NVIDIA AIUser Container","C:\Program Files\NVIDIA Corporation\Installer2\NvContainer.AIUser.{F6129630-F521-4A58-A0FA-338CF389CFE7}","Registry"
"NVIDIA App 11.0.5.420","C:\Program Files\NVIDIA Corporation\Installer2\Display.NvApp.{B924AFDB-193E-4ABF-BEC6-BD09EF2B96EC}","Registry"
"NVIDIA Backend","C:\Program Files\NVIDIA Corporation\Installer2\Display.NvApp.NvBackend.{74B51454-382A-41C2-A902-70B5D025032D}","Registry"
"NVIDIA Container","C:\Program Files\NVIDIA Corporation\NvContainer","Registry"
"NVIDIA FrameView SDK 1.5.11504.36206172","C:\Program Files\NVIDIA Corporation\FrameViewSDK","Registry"
"NVIDIA Graphics Driver 581.80","C:\Program Files\NVIDIA Corporation\Installer2\Display.Driver.{86AE5F8C-E350-477B-A603-088069E4E64A}","Registry"
"NVIDIA Install Application","C:\Program Files\NVIDIA Corporation\Installer2\InstallerCore","Registry"
"NVIDIA LocalSystem Container","C:\Program Files\NVIDIA Corporation\Installer2\NvContainer.LocalSystem.{9CC037F0-36D2-4B20-93B4-DC0D32B03102}","Registry"
"NVIDIA MessageBus 3 for NvApp","C:\Program Files\NVIDIA Corporation\Installer2\Display.NvApp.MessageBus.{5FD89CE9-95B3-476C-A7F3-3EA87A255668}","Registry"
"NVIDIA NvDLISR","C:\Program Files\NVIDIA Corporation\Installer2\NvDLISR.{67F50386-B785-459A-9AB2-BE10DC1001F7}","Registry"
"NVIDIA Optimus Update 39.5.0.0","C:\Program Files\NVIDIA Corporation\Installer2\Display.Optimus.{0915B34F-386B-4570-8C42-9CD223ED4B35}","Registry"
"NVIDIA PhysX System Software 9.23.1019","C:\Program Files (x86)\NVIDIA Corporation\PhysX","Registry"
"NVIDIA Session Container","C:\Program Files\NVIDIA Corporation\Installer2\NvContainer.Session.{5277552E-A54A-4CBB-A86A-94EC13FD09D0}","Registry"
"NVIDIA ShadowPlay 11.0.5.400","C:\Program Files\NVIDIA Corporation\NVIDIA App\ShadowPlay","Registry"
"NVIDIA Telemetry Client","C:\Program Files\NVIDIA Corporation\NvTelemetry","Registry"
"NVIDIA Update Core","C:\Program Files\NVIDIA Corporation\Installer2\Update.Core.{6FFB144E-506F-46C1-8CFC-2892D5A46C87}","Registry"
"NVIDIA User Container","C:\Program Files\NVIDIA Corporation\Installer2\NvContainer.User.{2C861B86-5FE9-441F-B4AA-0E13518DF337}","Registry"
"NVIDIA Virtual Audio 4.65.0.3","C:\Program Files\NVIDIA Corporation\Installer2\VirtualAudio.Driver.{D38D48EA-9DC0-4877-8E9C-8593C2EE2524}","Registry"
"NVIDIA Watchdog Plugin for NvContainer","C:\Program Files\NVIDIA Corporation\Installer2\NvPlugin.Watchdog.{86AE5F87-4351-403E-A47E-6D7005D8B68C}","Registry"
"OBS Studio",,"Registry"
"obs-ios-camera-source version git","D:\Misc\OBS Software\ods-studio\obs-studio\","Registry"
"obs-ios-camera-source-2.9.4-windows-x64-Installer","D:\Misc\OBS Software","Deep Scan (D:)"
"obs-ios-camera-source-2.9.6-windows-x64-Installer","D:\Downloads","Deep Scan (D:)"
"obs-ndi version 4.10.0","D:\Misc\OBS Software\ods-studio\obs-studio\","Registry"
"obs-ndi-4.10.0-Qt6-Windows-Installer","D:\Misc\OBS Software","Deep Scan (D:)"
"OBS-Studio-29.0.2-Full-Installer-x64","D:\Misc\OBS Software","Deep Scan (D:)"
"OcPubMgr","D:\New folder\Office16","Deep Scan (D:)"
"OculusCompatCheck","D:\Downloads","Deep Scan (D:)"
"ollama","D:\ollama","Deep Scan (D:)"
"ollama app","D:\ollama","Deep Scan (D:)"
"Ollama version 0.18.2","d:\ollama\","Registry"
"OneClickMaintenance","D:\Misc\Glary Utilities","Deep Scan (D:)"
"ONENOTE","D:\New folder\Office16","Deep Scan (D:)"
"ONENOTEM","D:\New folder\Office16","Deep Scan (D:)"
"onnxruntime_test","D:\Misc\Python311-was OpenWebUI\Scripts","Deep Scan (D:)"
"openai","D:\Misc\Python311-was OpenWebUI\Scripts","Deep Scan (D:)"
"OpenAL",,"Registry"
"opengl_utils_test","D:\Misc\COLMAP-3.5-windows\bin","Deep Scan (D:)"
"openscad","D:\Misc\OpenSCAD","Deep Scan (D:)"
"OpenSCAD (remove only)",,"Registry"
"open-webui","D:\Misc\Python311-was OpenWebUI\Scripts","Deep Scan (D:)"
"ORGCHART","D:\New folder\Office16","Deep Scan (D:)"
"OSPPREARM","D:\New folder\Office16","Deep Scan (D:)"
"Outils de v?rification linguistique 2016 de Microsoft Office?- Fran?ais","D:\New folder\","Registry"
"OUTLOOK","D:\New folder\Office16","Deep Scan (D:)"
"oxmsg","D:\Misc\Python311-was OpenWebUI\Scripts","Deep Scan (D:)"
"PatchCleaner_1.4.2.0","D:\Downloads","Deep Scan (D:)"
"PDF Settings CS6","","Registry"
"pdfconverter","D:\Misc\PDFgear","Deep Scan (D:)"
"pdfeditor","D:\Misc\PDFgear","Deep Scan (D:)"
"PDFgear 2.1.12","D:\Misc\PDFgear\","Registry"
"PDFLauncher","D:\Misc\PDFgear","Deep Scan (D:)"
"PDFREFLOW","D:\New folder\Office16","Deep Scan (D:)"
"pftask","D:\Misc\IOT","Deep Scan (D:)"
"Photodownloader","D:\Misc\Adobe CS6\Adobe Bridge CS6","Deep Scan (D:)"
"Photoshop","D:\Misc\Adobe CS6\Adobe Photoshop CS6","Deep Scan (D:)"
"Photoshop_Set-Up","D:\Downloads","Deep Scan (D:)"
"pip","D:\Misc\Python311-was OpenWebUI\Scripts","Deep Scan (D:)"
"pip3","D:\Misc\Python311-was OpenWebUI\Scripts","Deep Scan (D:)"
"pip3.11","D:\Misc\Python311-was OpenWebUI\Scripts","Deep Scan (D:)"
"pip3.13","D:\Misc\Python313\Scripts","Deep Scan (D:)"
"PlayMemories Home","D:\PlayMemories Home\","Registry"
"Plex Media Server 1.42.2.10156 (x64)","C:\Program Files\Plex\Plex Media Server\","Registry"
"PMB_ModeEditor","","Registry"
"PMB_ServiceUploader","","Registry"
"PMB3DPlayer","D:\PlayMemories Home","Deep Scan (D:)"
"PMBAnnounce","D:\PlayMemories Home","Deep Scan (D:)"
"PMBAVCHDPlayer","D:\PlayMemories Home","Deep Scan (D:)"
"PMBAVCHDUDF","D:\PlayMemories Home","Deep Scan (D:)"
"PMBBDAVAuthor","D:\PlayMemories Home","Deep Scan (D:)"
"PMBBDSelector","D:\PlayMemories Home","Deep Scan (D:)"
"PMBBrowser","D:\PlayMemories Home","Deep Scan (D:)"
"PMBBrowserPreview","D:\PlayMemories Home","Deep Scan (D:)"
"PMBContentAnalyzer","D:\PlayMemories Home","Deep Scan (D:)"
"PMBDeviceInfoProvider","D:\PlayMemories Home","Deep Scan (D:)"
"PMBDiscMaker","D:\PlayMemories Home","Deep Scan (D:)"
"PMBDownloader","D:\PlayMemories Home","Deep Scan (D:)"
"PMBDrpVideoConverter","D:\PlayMemories Home","Deep Scan (D:)"
"PMBDVDAuthor","D:\PlayMemories Home","Deep Scan (D:)"
"PMBEnvironmentCheckTool","D:\PlayMemories Home","Deep Scan (D:)"
"PMBFileConfig","D:\PlayMemories Home","Deep Scan (D:)"
"PMBFirewallController","D:\PlayMemories Home","Deep Scan (D:)"
"PMBGPSMatch","D:\PlayMemories Home","Deep Scan (D:)"
"PMBGPSSupportTool","D:\PlayMemories Home","Deep Scan (D:)"
"PMBHDAuthor","D:\PlayMemories Home","Deep Scan (D:)"
"PMBInit","D:\PlayMemories Home","Deep Scan (D:)"
"PMBMapView","D:\PlayMemories Home","Deep Scan (D:)"
"PMBMapViewVideoPlayer","D:\PlayMemories Home","Deep Scan (D:)"
"PMBMCEWrapper64","D:\PlayMemories Home\x64","Deep Scan (D:)"
"PMBMCOutputUnit","D:\PlayMemories Home","Deep Scan (D:)"
"PMBMediaExporter","D:\PlayMemories Home","Deep Scan (D:)"
"PMBMP4Conversion","D:\PlayMemories Home","Deep Scan (D:)"
"PMBMPThumb","D:\PlayMemories Home","Deep Scan (D:)"
"PMBMtpDeviceSwitch","D:\PlayMemories Home","Deep Scan (D:)"
"PMBMusicTransfer","D:\PlayMemories Home","Deep Scan (D:)"
"PMBSettingsTool","D:\PlayMemories Home","Deep Scan (D:)"
"PMBSlideshow","D:\PlayMemories Home","Deep Scan (D:)"
"PMBSMImportManagerEx","D:\PlayMemories Home","Deep Scan (D:)"
"PMBUpdateNetworkService","D:\PlayMemories Home","Deep Scan (D:)"
"PMBVideoCombining","D:\PlayMemories Home","Deep Scan (D:)"
"PMBVideoTrimming","D:\PlayMemories Home","Deep Scan (D:)"
"PMBVolumeWatcher","D:\PlayMemories Home","Deep Scan (D:)"
"PMBWifiImportSetting","D:\PlayMemories Home","Deep Scan (D:)"
"PnPXProc","D:\PlayMemories Home","Deep Scan (D:)"
"point2d_test","D:\Misc\COLMAP-3.5-windows\bin","Deep Scan (D:)"
"point3d_test","D:\Misc\COLMAP-3.5-windows\bin","Deep Scan (D:)"
"polynomial_test","D:\Misc\COLMAP-3.5-windows\bin","Deep Scan (D:)"
"PortableMaker","D:\Misc\Glary Utilities","Deep Scan (D:)"
"pose_test","D:\Misc\COLMAP-3.5-windows\bin","Deep Scan (D:)"
"POWERPNT","D:\New folder\Office16","Deep Scan (D:)"
"PowerToys (Preview)","C:\Users\DrDen\AppData\Local\PowerToys\","Registry"
"PowerToys (Preview) x64",,"Registry"
"PowerToysSetup-0.29.3-x64","D:\Downloads","Deep Scan (D:)"
"PPTICO","D:\New folder\Office16","Deep Scan (D:)"
"procmgr","D:\Misc\Glary Utilities","Deep Scan (D:)"
"progressive_sampler_test","D:\Misc\COLMAP-3.5-windows\bin","Deep Scan (D:)"
"projection_test","D:\Misc\COLMAP-3.5-windows\bin","Deep Scan (D:)"
"protocolhandler","D:\New folder\Office16","Deep Scan (D:)"
"prusa3d_win_2_6_1","D:\Misc","Deep Scan (D:)"
"prusa3d_win_2_7_4","D:\Misc","Deep Scan (D:)"
"prusa-gcodeviewer","D:\Misc\PrusaSlicer-2.6.0-alpha4+win64-202302180012","Deep Scan (D:)"
"PrusaSlicer","D:\Misc\Prusa3D\PrusaSlicer\","Registry"
"prusa-slicer","D:\Misc\PrusaSlicer-2.6.0-alpha4+win64-202302180012","Deep Scan (D:)"
"prusa-slicer-console","D:\Misc\PrusaSlicer-2.6.0-alpha4+win64-202302180012","Deep Scan (D:)"
"pw_migrate","D:\Misc\Python311-was OpenWebUI\Scripts","Deep Scan (D:)"
"pwiz","D:\Misc\Python311-was OpenWebUI\Scripts","Deep Scan (D:)"
"pw-migrate","D:\Misc\Python311-was OpenWebUI\Scripts","Deep Scan (D:)"
"pyav","D:\Misc\Python311-was OpenWebUI\Scripts","Deep Scan (D:)"
"pybase64","D:\Misc\Python311-was OpenWebUI\Scripts","Deep Scan (D:)"
"pyftmerge","D:\Misc\Python311-was OpenWebUI\Scripts","Deep Scan (D:)"
"pyftsubset","D:\Misc\Python311-was OpenWebUI\Scripts","Deep Scan (D:)"
"pygmentize","D:\Misc\Python311-was OpenWebUI\Scripts","Deep Scan (D:)"
"pyluxcoretool","D:\Misc\Lux\luxcorerender-v2.1-win64-opencl","Deep Scan (D:)"
"pyproject-build","D:\Misc\Python311-was OpenWebUI\Scripts","Deep Scan (D:)"
"pyrsa-decrypt","D:\Misc\Python311-was OpenWebUI\Scripts","Deep Scan (D:)"
"pyrsa-encrypt","D:\Misc\Python311-was OpenWebUI\Scripts","Deep Scan (D:)"
"pyrsa-keygen","D:\Misc\Python311-was OpenWebUI\Scripts","Deep Scan (D:)"
"pyrsa-priv2pub","D:\Misc\Python311-was OpenWebUI\Scripts","Deep Scan (D:)"
"pyrsa-sign","D:\Misc\Python311-was OpenWebUI\Scripts","Deep Scan (D:)"
"pyrsa-verify","D:\Misc\Python311-was OpenWebUI\Scripts","Deep Scan (D:)"
"python","D:\Misc\Python311-was OpenWebUI","Deep Scan (D:)"
"Python 3.11.9 (64-bit)",,"Registry"
"Python 3.11.9 Core Interpreter (64-bit)","","Registry"
"Python 3.11.9 Development Libraries (64-bit)","","Registry"
"Python 3.11.9 Documentation (64-bit)","","Registry"
"Python 3.11.9 Executables (64-bit)","","Registry"
"Python 3.11.9 pip Bootstrap (64-bit)","","Registry"
"Python 3.11.9 Standard Library (64-bit)","","Registry"
"Python 3.11.9 Tcl/Tk Support (64-bit)","","Registry"
"Python 3.11.9 Test Suite (64-bit)","","Registry"
"Python 3.11.9 Utility Scripts (64-bit)","","Registry"
"Python 3.13.7 (64-bit)",,"Registry"
"Python 3.13.7 Core Interpreter (64-bit)","","Registry"
"Python 3.13.7 Development Libraries (64-bit)","","Registry"
"Python 3.13.7 Documentation (64-bit)","","Registry"
"Python 3.13.7 Executables (64-bit)","","Registry"
"Python 3.13.7 pip Bootstrap (64-bit)","","Registry"
"Python 3.13.7 Standard Library (64-bit)","","Registry"
"Python 3.13.7 Tcl/Tk Support (64-bit)","","Registry"
"Python 3.13.7 Test Suite (64-bit)","","Registry"
"Python Launcher","","Registry"
"pythonw","D:\Misc\Python311-was OpenWebUI","Deep Scan (D:)"
"pytube","D:\Misc\Python311-was OpenWebUI\Scripts","Deep Scan (D:)"
"pywin32_postinstall","D:\Misc\Python311-was OpenWebUI\Scripts","Deep Scan (D:)"
"pywin32_testall","D:\Misc\Python311-was OpenWebUI\Scripts","Deep Scan (D:)"
"qbcefsubprocess","D:\QuickBooks Pro 2018","Deep Scan (D:)"
"QBCSB2","D:\QuickBooks Pro 2018","Deep Scan (D:)"
"QBDBMgr","D:\QuickBooks Pro 2018","Deep Scan (D:)"
"QBDBMgr9","D:\QuickBooks Pro 2018","Deep Scan (D:)"
"QBDBMgrN","D:\QuickBooks Pro 2018","Deep Scan (D:)"
"QBEGTool","D:\QuickBooks Pro 2018","Deep Scan (D:)"
"QBHelp","D:\QuickBooks Pro 2018","Deep Scan (D:)"
"qbmapi64","D:\QuickBooks Pro 2018","Deep Scan (D:)"
"QBMigrator","D:\QuickBooks Pro 2018","Deep Scan (D:)"
"QBMRUConfig","D:\QuickBooks Pro 2018","Deep Scan (D:)"
"QBUpgraderLauncher","D:\QuickBooks Pro 2018","Deep Scan (D:)"
"QBW32","D:\QuickBooks Pro 2018","Deep Scan (D:)"
"QBW32Pro","D:\QuickBooks Pro 2018","Deep Scan (D:)"
"QooCamStudio","D:\Misc\QooCamStudio","Deep Scan (D:)"
"QooCamStudio 3.3.0.18",,"Registry"
"QtWebEngineProcess","D:\Misc\Vuze VR Studio","Deep Scan (D:)"
"Quick Access Service","C:\Program Files\Acer\Quick Access Service\","Registry"
"QuickBooks","","Registry"
"QuickBooks Desktop File Doctor","C:\Program Files (x86)\Intuit\QuickBooks Desktop File Doctor\","Registry"
"QuickBooks Pro 2018","D:\QuickBooks Pro 2018\","Registry"
"QuickBooks Runtime Redistributable","C:\Program Files (x86)\Intuit\VC10X64Redist\","Registry"
"QuickBooks_Replay_Setup","D:\QuickBooks Pro 2018","Deep Scan (D:)"
"QuickBooksMessaging","D:\QuickBooks Pro 2018","Deep Scan (D:)"
"QuickSearch","D:\Misc\Glary Utilities","Deep Scan (D:)"
"random_sampler_test","D:\Misc\COLMAP-3.5-windows\bin","Deep Scan (D:)"
"random_test","D:\Misc\COLMAP-3.5-windows\bin","Deep Scan (D:)"
"ransac_test","D:\Misc\COLMAP-3.5-windows\bin","Deep Scan (D:)"
"rapidocr_onnxruntime","D:\Misc\Python311-was OpenWebUI\Scripts","Deep Scan (D:)"
"RealSpace360_Installer","D:\Misc\Vuze VR Studio","Deep Scan (D:)"
"Realtek Card Reader","C:\Program Files (x86)\Realtek\Realtek Card Reader","Registry"
"Realtek Ethernet Controller Driver","C:\Program Files (x86)\Realtek\NICDRV_8169","Registry"
"Realtek High Definition Audio Driver","C:\Program Files (x86)\Realtek\Audio\Drivers","Registry"
"reconstruction_manager_test","D:\Misc\COLMAP-3.5-windows\bin","Deep Scan (D:)"
"reconstruction_test","D:\Misc\COLMAP-3.5-windows\bin","Deep Scan (D:)"
"RED2","D:\Misc\Remove Empty Directories","Deep Scan (D:)"
"red-v2.2-setup","D:\Downloads","Deep Scan (D:)"
"regdefrag","D:\Misc\Glary Utilities","Deep Scan (D:)"
"RegExt","D:\Misc\PDFgear","Deep Scan (D:)"
"RegistryCleaner","D:\Misc\Glary Utilities","Deep Scan (D:)"
"Remove Empty Directories version 2.2","D:\Misc\Remove Empty Directories\","Registry"
"Replace","D:\Misc\Adobe CS6\Adobe Extension Manager CS6","Deep Scan (D:)"
"RestoreCenter","D:\Misc\Glary Utilities","Deep Scan (D:)"
"rr","D:\Misc\7.28.4.0","Deep Scan (D:)"
"Samsung Magician","C:\Program Files (x86)\Samsung\Samsung Magician\","Registry"
"scalar","D:\Misc\Git\cmd","Deep Scan (D:)"
"SCANPST","D:\New folder\Office16","Deep Scan (D:)"
"scene_clustering_test","D:\Misc\COLMAP-3.5-windows\bin","Deep Scan (D:)"
"ScheduledTaskCreator","D:\QuickBooks Pro 2018","Deep Scan (D:)"
"ScreenShot","D:\Misc\IOT","Deep Scan (D:)"
"Scripter","D:\Misc\Similarity","Deep Scan (D:)"
"Seas0nPass","D:\Downloads\Seas0nPass-win","Deep Scan (D:)"
"SELFCERT","D:\New folder\Office16","Deep Scan (D:)"
"senddmp","D:\Misc\Meshmixer","Deep Scan (D:)"
"SETLANG","D:\New folder\Office16","Deep Scan (D:)"
"Set-up","D:\Misc\Adobe CS6","Deep Scan (D:)"
"SetupChipset","C:\Program Files\Intel Corporation\Intel(R) Chipset Device Software\","Registry"
"setuplanguagepack.x64.nl-nl_","D:\Downloads","Deep Scan (D:)"
"setuplanguagepack.x86.nl-nl_","D:\Downloads","Deep Scan (D:)"
"sh","D:\Misc\Git\bin","Deep Scan (D:)"
"ShortcutFixer","D:\Misc\Glary Utilities","Deep Scan (D:)"
"shredder","D:\Misc\Glary Utilities","Deep Scan (D:)"
"sift_test","D:\Misc\COLMAP-3.5-windows\bin","Deep Scan (D:)"
"Similarity","D:\Misc\Similarity","Deep Scan (D:)"
"Similarity 64-bit 2.5.1","","Registry"
"similarity_transform_test","D:\Misc\COLMAP-3.5-windows\bin","Deep Scan (D:)"
"Skype version 8.134","C:\Program Files (x86)\Microsoft\Skype for Desktop\","Registry"
"Slideshow","D:\Misc\IrfanView\Plugins","Deep Scan (D:)"
"sniffer_gpu","D:\Misc\Adobe CS6\Adobe Photoshop CS6","Deep Scan (D:)"
"SoftwareUpdate","D:\Misc\Glary Utilities","Deep Scan (D:)"
"Source Record version 0.3.4","D:\Misc\OBS Software\ods-studio\obs-studio\","Registry"
"source-record-0.3.4-windows-installer","D:\Downloads\source-record-0.3.4-windows-installer","Deep Scan (D:)"
"Speech","D:\Misc\Similarity","Deep Scan (D:)"
"sqlite3","D:\Misc\ADB\platform-tools","Deep Scan (D:)"
